folioviv,foliohog,clave,gasto,pago_mp,gasto_tri
1901398801,1,TR01,15000, ,45000
1901398801,1,TR04,2000, ,6000
1901398801,1,TR08,1000,1000,978.26
1901398801,1,TB02,2000, ,6000
1901398801,1,TB03,4700, ,14100
1901398801,1,TB04,56000, ,168000
1901398801,1,TB05,12000, ,36000
1901398801,1,TB07,23000, ,69000
1901398801,1,TB08,15400,0,15065.21
1901398801,1,TB10,3000,1500,2934.78
1901398801,1,TB01,20000, ,60000
1901414403,1,TB02,706, ,2049.67
1901414403,1,TB01,7000, ,20322.58
1901414403,1,TB03,960, ,2787.09
1901414403,1,TB08,2650,800,2592.39
1901414403,1,TB14,8400,800,4108.69
1901628905,1,TB13,3000,0,1467.39
1901628905,1,TB08,3900,700,3815.21
1901628905,1,TR08,900,900,880.43
1901769001,1,TB03,530, ,1538.7
1901769001,1,TB02,189, ,548.7
1901769001,1,TB08,1850,0,1809.78
1902025203,1,TB01,500, ,1451.61
1902025206,1,TB13,12000,0,5966.85
1902025206,1,TB14,4500,0,2237.56
1902025206,1,TB01,2000, ,5806.45
1902025206,1,TB05,1000, ,2903.22
1902188206,1,TB11,490,0,243.64
1902272203,1,TB11,12000,0,5966.85
1902435405,1,TB03,182, ,528.38
1902435405,1,TB02,188, ,545.8
1902435405,1,TB01,1500, ,4354.83
1902578605,1,TB10,3800,950,3717.39
1902578605,1,TB08,4700,1800,4597.82
1902789302,1,TB09,400,0,391.3
1902789302,1,TB11,1600,0,782.6
1902789303,1,TB08,3785,2885,3702.71
1902789303,1,TB12,3500,0,1711.95
1902880005,1,TB02,363, ,1053.87
1902880005,1,TB03,435, ,1262.9
1902880005,1,TB08,500,0,489.13
1903049301,1,TB14,12000,3000,5869.56
1903049302,1,TB03,785, ,2279.03
1903049302,1,TB13,13000,13000,6358.69
1903049302,1,TB02,951, ,2760.96
1903049305,1,TB03,246, ,714.19
1903049305,1,TB08,20,20,19.56
1903049305,1,TB05,1500, ,4354.83
1903049305,1,TB09,35,35,34.23
1903049305,1,TB10,100,40,97.82
1903049305,1,TB01,1712, ,4970.32
1903049305,1,TR02,75, ,217.74
1903049305,1,TR03,170, ,493.54
1903049305,1,TB11,1800,0,880.43
1903049305,1,TB02,205, ,595.16
1903055803,1,TB08,80,80,78.26
1903310701,1,TB08,3020,1030,2954.34
1903314202,1,TB08,975,0,953.8
1903314202,1,TB14,14000,0,6961.32
1903316001,1,TB09,960,320,939.13
1903969504,1,TB12,600,150,293.47
1903969504,1,TB08,5200,1400,5086.95
1903969504,1,TB04,1000, ,2903.22
1903969504,1,TB14,4000,4000,1956.52
1903984304,1,TB11,1500,1500,733.69
1903984306,1,TB09,640,640,626.08
1903984306,1,TB08,4085,0,3996.19
1904037302,1,TB01,5000, ,14516.12
1904037302,1,TB02,88, ,255.48
1904037304,1,TB11,12000,12000,5869.56
1904037304,1,TB02,1240, ,3599.99
1904037304,1,TB01,5000, ,14516.12
1904037304,1,TB13,15000,0,7336.95
1904061904,1,TB08,4750,0,4646.73
1904108803,1,TB04,1200, ,3600
1904108803,1,TB11,1600,1600,786.88
1904224606,1,TB08,1840,0,1799.99
1904875605,1,TB08,500,500,489.13
1905054001,1,TB08,1180,0,1154.34
1905054001,1,TB11,2300,0,1124.99
1905054005,1,TB08,1100,500,1076.08
1905054005,1,TB11,600,0,293.47
1905179502,1,TB08,310,310,303.26
1905303301,1,TB08,6280,2880,6143.47
1905444402,1,TB09,2580,2580,2523.91
1905444402,1,TB08,1330,1330,1301.08
1905444402,1,TB03,256, ,743.22
1905444402,1,TB02,270, ,783.87
1905444403,1,TB13,7000,0,3423.91
1905552603,1,TB11,9000,9000,4426.22
1905572903,1,TB14,50000,0,24456.52
1905572903,1,TB08,33210,23960,32488.04
1905572903,1,TB02,612, ,1776.77
1905572903,1,TB01,5000, ,14516.12
1905572903,1,TB13,71000,15000,34728.26
1905572903,1,TB12,31600,11300,15456.52
1905572903,1,TB11,19000,14000,9293.47
1905572903,1,TB10,3730,1700,3648.91
1905572903,1,TB09,3200,1200,3130.43
1905572903,1,TB07,3000, ,8709.67
1905572903,1,TB05,8000, ,23225.8
1905572903,1,TB04,3600, ,10451.61
1905572903,1,TB03,3605, ,10466.12
1905572904,1,TB03,1455, ,4224.19
1905572904,1,TB13,9000,0,4402.17
1905572904,1,TB01,6000, ,17419.35
1905572904,1,TB02,1136, ,3298.06
1905572904,1,TB08,10400,8150,10173.91
1905572904,1,TB10,300,300,293.47
1905572904,1,TB06,300, ,870.96
1905572904,1,TB14,28000,0,13695.65
1905580803,1,TB03,100, ,300
1905580803,1,TB02,360, ,1080
1905580805,1,TB02,968, ,2904
1905580805,1,TB03,1261, ,3783
1905696306,1,TB04,7350, ,21338.7
1905696306,1,TB03,1000, ,2903.22
1905696306,1,TB08,2000,2000,1956.52
1905745401,1,TB03,810, ,2351.61
1905745401,1,TB09,250,250,244.56
1905745401,1,TB08,1913,1000,1871.41
1905745401,1,TB07,599, ,1739.03
1905745401,1,TB11,5000,0,2445.65
1905745401,1,TB13,7000,0,3423.91
1905745401,1,TB01,2500, ,7258.06
1905745401,1,TB02,765, ,2220.96
1905745401,1,TB10,5300,500,5184.78
1905774003,1,TB03,360, ,1045.16
1905774003,1,TB02,238, ,690.96
1905774003,1,TB11,1385,185,677.44
1905774003,1,TB01,7000, ,20322.58
1905774005,1,TB12,11519,6064,5634.29
1905774005,1,TB11,13134,2778,6424.23
1905774005,1,TB03,300, ,870.96
1905774005,1,TB04,800, ,2322.58
1905774005,1,TB02,660, ,1916.12
1905774005,1,TB05,4800, ,13935.48
1905774005,1,TB14,42462,12770,20769.45
1905774005,1,TB08,7315,4400,7155.97
1905774005,1,TB13,1350,0,660.32
1905774005,1,TB10,500,500,489.13
1905774005,1,TB09,7700,7600,7532.6
1905795302,1,TB09,380,300,371.73
1905795302,1,TB11,250,250,122.28
1905795302,1,TB12,285,0,139.4
1905795302,1,TB01,3300, ,9580.64
1905795302,1,TB02,131, ,380.32
1905795302,1,TB03,490, ,1422.58
1905795302,1,TB05,900, ,2612.9
1905795302,1,TB07,28, ,81.29
1905795302,1,TB08,1100,0,1076.08
1905795306,1,TB01,385, ,1117.74
1905795306,1,TB02,85, ,246.77
1905795306,1,TB03,178, ,516.77
1905795306,1,TB08,419,0,409.89
1905795306,1,TB11,300,0,146.73
1905926403,1,TB11,890,890,435.32
1905994802,1,TB08,1400,0,1369.56
1906012403,1,TB08,1800,1800,1760.86
1906012403,1,TB14,16000,0,7826.08
1906022206,1,TB11,1500,0,745.85
1906022206,1,TB08,1950,1145,1907.6
1906022206,1,TB07,2950, ,8564.51
1906175503,1,TB03,770, ,2235.48
1906175503,1,TB01,2000, ,5806.45
1906175503,1,TB04,500, ,1451.61
1906175503,1,TB08,1840,1540,1799.99
1906175503,1,TB10,2520,840,2465.21
1906175503,1,TB13,17500,17500,8559.78
1906175503,1,TB14,17000,10000,8315.21
1906175503,1,TB02,955, ,2772.58
1906175504,1,TB14,2800,0,1369.56
1906175504,1,TB08,2099,0,2053.36
1906175504,1,TB03,790, ,2293.54
1906175504,1,TB02,1128, ,3274.83
1906175504,1,TB01,3000, ,8709.67
1906175505,1,TB08,1479,0,1446.84
1906175505,1,TB14,10000,0,4891.3
1906175505,1,TB07,3550, ,10306.45
1906175505,1,TB04,800, ,2322.58
1906175505,1,TB01,4000, ,11612.9
1906196304,1,TB10,3780,1180,3697.82
1906196304,1,TB14,9500,0,4646.73
1906196304,1,TB13,14000,0,6847.82
1906196304,1,TB09,560,0,547.82
1906196304,1,TB05,2000, ,5806.45
1906196304,1,TB08,1655,145,1619.02
1906196304,1,TB01,7000, ,20322.58
1906196304,1,TB03,828, ,2403.87
1906203902,1,TB07,800, ,2322.58
1906203905,1,TB01,11000, ,31935.48
1906203905,1,TB02,250, ,725.8
1906203905,1,TB03,2822, ,8192.9
1906203905,1,TB08,778,778,761.08
1906203905,1,TB09,2600,2600,2543.47
1906203905,1,TB10,17150,17150,16777.17
1906203905,1,TB11,360,360,176.08
1906203905,1,TB13,9500,9500,4646.73
1906272801,1,TB08,205,100,200.54
1906272801,1,TB13,5700,0,2803.27
1906272801,1,TB12,720,0,354.09
1906272803,1,TB08,750,0,733.69
1906272803,1,TB02,495, ,1485
1906272803,1,TB12,2000,500,983.6
1906272803,1,TB05,300, ,900
